time_edt,source,speech,language,shouted,transcriber_note,pdf_page
10:00:22.2,CAM-1,Oh Allah! Oh Allah! Oh Gracious!,translated_arabic,,,8
10:00:25.7,CAM-?,In the cockpit. If we don't we'll die!,english_spoken,,Shouted by a native English speaking male,8
10:00:29.5,CAM-1,"Up, down. Up, down, in the cockpit",mixed,,,8
10:00:30.2,CAM,,unmarked,,"The sound of auto-pilot disconnect warning starts, and continuous until the end of the recording",8
10:00:33.0,CAM-1,The Cockpit,mixed,,,8
10:00:37.3,CAM-1,"Up, down. Saeed, up, down!!",translated_arabic,,Arabic first name. See picture,8
10:00:42.1,CAM-?,Roll it!,english_spoken,,"Command shouted, in the distance, by a native English speaking male",8
10:00:46.7,CAM,,unmarked,,The sound of the first of two loud plates/glass crashes,8
10:00:47.9,CAM,,unmarked,,The sound of the second of two loud plates/glass crashes,8
10:00:55.0,CAM-?,,unmarked,,Unintelligible Arabic phrase,8
10:00:57.7,HOT-2,,unmarked,,The sound of a microphone being moved,9
10:00:59.5,CAM-1,Allah is the Greatest! Allah is the Greatest!,translated_arabic,,,9
10:01:01.4,CAM-2,10:0 06.9 CAM,unmarked,yes,U/I; Unintelligible Arabic phrase; The sound a metallic click,9
10:01:08.4,CAM-1,"Is that it I mean, shall we pull it down",translated_arabic,,,9
10:01:09.8,CAM-2,"Yes, put it in it, and pull it down",translated_arabic,,,9
10:01:11.2,CAM-1,engine,english_spoken,,U/I; U/I,9
10:01:12.1,CAM,Saeed!,translated_arabic,,U/I; Arabic Name. See picture,9
10:01:16.9,CAM-1,Cut off the oxygen!,mixed,,,9
10:01:18.7,CAM-1,Cut off the oxygen! Cut off the oxygen! Cut off the! oxygen,mixed,,,9
10:01:23.8,CAM,,unmarked,,The sound of a loud metallic click,9
10:01:34.1,CAM-?,,unmarked,,U/I; Unintelligible Arabic phrase,9
10:01:37.2,CAM-2,,unmarked,,U/I; Unintelligible Arabic phrase,9
10:01:39.6,CAM,,unmarked,,The sound of 2 metallic snaps,9
10:01:41.1,CAM-1,"Up, down. Up, down",translated_arabic,,,9
10:01:41.5,CAM-2,What,translated_arabic,,,9
10:01:42.0,CAM-1,"Up, down",translated_arabic,,,9
10:01:42.1,CAM-?,Ah!,english_spoken,,In the background,9
10:01:44.5,CAM,,unmarked,,The sound of the first of two loud crashes,9
10:01:45.9,CAM,,unmarked,,The sound of the second of two loud crashes,9
10:01:49.3,CAM,10,unmarked,,The sound of two snaps,9
01:51:3,CAM-?,,unmarked,,The sound of a loud grunt,9
10:01:52.4,CAM-?,,unmarked,,The sound of a loud grunt,9
10:01:53.1,"CAM""?",,unmarked,,The sound of a loud grunt,9
10:01:53.7,CAM-?,Ah!,english_spoken,,A loud shout by a male from a distance,9
10:01:55.3,CAM-?,Ah!,english_spoken,,A loud shout by a native English speaking male,9
10:01:58.1,CAM,,unmarked,,A loud crash that lasted for 2.16 seconds,9
10:01:59.8,CAM-?,Shut them off!,unmarked,,U/I,9
10:02:03.5,CAM-1,Shut them off!,english_spoken,,,9
10:02:06.5,CAM,,unmarked,,the start of numerous metallic clicks,9
10:02:12.9,CAM,,unmarked,,The end of the clicks,9
10:02:14.1,CAM-1,Go!,english_spoken,,,9
10:02:14.9,CAM-1,Go!,english_spoken,,,9
10:02:15.7,CAM-?,MOVE!,english_spoken,yes,,9
10:02:16.6,CAM-?,MOVE!,english_spoken,yes,,9
