index,longitude,latitude
245,-81.41223,40.78798
246,-81.37603,40.78044
247,-81.33964,40.77324
248,-81.30312,40.76627
249,-81.26652,40.75942
250,-81.22992,40.75258
251,-81.19338,40.74563
252,-81.15697,40.73848
253,-81.12075,40.73100
254,-81.08479,40.72309
255,-81.04916,40.71464
256,-81.01391,40.70553
257,-80.97912,40.69565
258,-80.94486,40.68490
259,-80.91115,40.67320
260,-80.87794,40.66067
261,-80.84513,40.64746
262,-80.81264,40.63371
263,-80.78037,40.61958
264,-80.74824,40.60521
265,-80.71616,40.59075
266,-80.68404,40.57635
267,-80.65179,40.56217
268,-80.61936,40.54829
269,-80.58675,40.53467
270,-80.55402,40.52127
271,-80.52117,40.50804
272,-80.48825,40.49493
273,-80.45527,40.48188
274,-80.42228,40.46884
275,-80.38929,40.45577
276,-80.35634,40.44262
277,-80.32345,40.42933
278,-80.29062,40.41592
279,-80.25781,40.40246
280,-80.22499,40.38902
281,-80.19211,40.37567
282,-80.15914,40.36250
283,-80.12604,40.34957
284,-80.09276,40.33696
285,-80.05928,40.32474
286,-80.02554,40.31298
287,-79.99153,40.30175
288,-79.95723,40.29103
289,-79.92264,40.28075
290,-79.88778,40.27089
291,-79.85265,40.26137
292,-79.81725,40.25217
293,-79.78159,40.24321
294,-79.74567,40.23447
295,-79.70950,40.22588
296,-79.67309,40.21743
297,-79.63646,40.20930
298,-79.59964,40.20175
299,-79.56266,40.19507
300,-79.52555,40.18952
301,-79.48835,40.18537
302,-79.45108,40.18290
303,-79.41378,40.18238
304,-79.37647,40.18408
305,-79.33917,40.18780
306,-79.30189,40.19233
307,-79.26460,40.19632
308,-79.22731,40.19841
309,-79.18998,40.19789
310,-79.15257,40.19519
311,-79.11503,40.19086
312,-79.07739,40.18535
313,-79.04069,40.17787
314,-79.00655,40.16688
315,-78.97652,40.15097
316,-78.95132,40.13041
317,-78.93106,40.10663
318,-78.91585,40.08107
319,-78.90580,40.05520
